"","Day","Year","Opponent","GameNumber","Wake_Result","Wake_Rushes","Wake_Rush_Yds","Wake_Rush_TD","Wake_Rush_Lg","Wake_Receptions","Wake_Receptions_Yds","Wake_Receptions_TD","Wake_Receptions_Lg","Wake_Pass_Cmp","Wake_Pass_Att","Wake_Pass_Int","Wake_Pass_Yds","Wake_Pass_TD","Wake_Pass_Lg","Wake_KOR","Wake_KOR_Yds","Wake_KOR_TD","Wake_KOR_Lg","Wake_PR","Wake_PR_Yds","Wake_PR_TD","Wake_PR_LG","Wake_Total_Offense","Wake_Total_Of_Plays","Wake_1st_Downs","Wake_1DRsh","Wake_1DPs","Wake_1DPen","Wake_Solo","Wake_Ast","Wake_Total_Tackles","Wake_TFL","Wake_TFL_Yds","Wake_Sacks","Wake_Sacks_Yds","Wake_FF","Wake_FR","Wake_Fumble_Yds","Wake_Int","Wake_Int_Yds","Wake_QBH","Wake_Brk","Wake_Blk_Kick","Wake_PAT_M","Wake_PAT_Att","Wake_Run","Wake_Rcv","Wake_safety","Wake_Pts","Wake_Punts","Wake_Punts_Yds","Wake_Punts_Avg","Wake_Punts_Lg","Wake_Blkd","Wake_TB","Wake_FB","Wake_50+","Wake_I20","Wake1_FGA","Wake1_FGM","Wake1_Lg","Wake1_Blkd","Wake_Ko","Wake_Ko_Yds","Wake_Ko_Avg","Wake1_TB","Wake_OB","Wake_2gm_TO","Wake_Rush_2gms","Wake_Rush_3gms","Opp_Rushes","Opp_Rushes_Yds","Opp_Rushes_TD","Opp_Rushes_Lg","Opp_Receptions","Opp_Receptions_Yds","Opp_Receptions_TD","Opp_Receptions_Lg","Opp_Pass_Cmp","Opp_Pass_Att","Opp_Pass_Int","Opp_Pass_Yds","Opp_Pass_TD","Opp_Pass_Lg","Opp_KOR","Opp_KOR_Yds","Opp_KOR_TD","Opp_KOR_LG","Opp","Opp.1","Opp_PR_TD","Opp_PR_LG","Opp_Total_Offense","Opp_1st_Downs","Opp_1D-Ru","Opp_1D-Pa","Opp_1D-Pn","Opp_Solo","Opp_Ast","Opp_Total_Tackles","Opp_TFL","Opp_TFL_Yds","Opp_Sacks","Opp_Sacks_Yds","Opp_FF","Opp_FR","Opp_Fumble_Yds","Opp_Int","Opp_Int_Yds","Opp_QBH","Opp_Brk","Opp_Blk_Kick","Opp_PAT_Att","Opp_PAT_M","Opp_Run","Opp_Rcv","Opp_Safety","Opp_Pts","Opp_Punts","Opp_Punts_Yds","Opp_Punts_Avg","Opp_Punts_Lg","Opp_Blkd","Opp_TB","Opp_FC","Opp_50+","Opp_I20","Opp1_FGA","Opp1_FGM","Opp1_Lg","Opp1_Blk","Opp_Ko","Opp_Yds_10","Opp1_Avg","Opp1_TB","Opp_OB","Opp_YPC","Opp_YPA","Opp_Tot_Off_Plays","Opp_YPP","alltimefb_W/L","alltimefb_Score","alltimefb_WFU","alltimefb_Opp","alltimefb_Margin","alltimefb_Calc","alltimefb_ATT","alltimefb_Opp Conf","alltimefb_H A","alltimefb_ACC Rec after for WF","alltimefb_Opp Rec before gm","alltimefb_WF Rank","alltimefb_WF AP","alltimefb_WF Coach","alltimefb_WF CFP","alltimefb_Opp Rank","alltimefb_Opp AP","alltimefb_Opp Coaches Poll","alltimefb_Opp CFP","alltimefb_Notes","alltimefb_WF Record (after)","alltimefb_Coach Rec","alltimefb_Coach","alltimefb_Opp Coach","alltimefb_Pts Combo","alltimefb_OT","alltimefb_Season Win #","alltimefb_Season #","alltimefb_Gm #","alltimefb_Surface","alltimefb_State","alltimefb_Jersey","alltimefb_Pants","alltimefb_Helmet","alltimefb_Game Time","alltimefb_Night","alltimefb_PDF","alltimefb_<17","alltimefb_Temp","alltimefb_Weather","alltimefb_TV","alltimefb_PxP","alltimefb_Analyst","alltimefb_Sideline","alltimefb_Analyst__1","alltimefb_Level","alltimefb_Division","alltimefb_Toss","alltimefb_Choice","alltimefb_Bye","alltimefb_Gm #__1","alltimefb_Check","alltimefb_ACC Opener","alltimefb_ACC Hm Opener","alltimefb_Homecoming","alltimefb_Big 4","alltimefb_0-1L-Nov","alltimefb_Final Play","alltimefb_NFL Stadium","alltimefb_ATW","alltimefb_ATL","alltimefb_ATT__1","alltimefb_AT Pct","alltimefb_Bowl","alltimefb_Discrepancies","alltimefb_Nickname","alltimefb_LINK","alltimefb_Coastal-Atlantic","alltimefb_Starting QB","alltimefb_WF Poss","alltimefb_TD","alltimefb_FG","alltimefb_Punt","alltimefb_L/TO","alltimefb_MFG","alltimefb_Dns","alltimefb_Time","alltimefb_TOT","alltimefb_Opp Dr","alltimefb_TD__1","alltimefb_FG__1","alltimefb_Punt__1","alltimefb_L/TO__1","alltimefb_Dns__1","alltimefb_MFG__1","alltimefb_Time__1","alltimefb_TOT__1","alltimefb_Off Drs","alltimefb_3-and-out","alltimefb_Def Drs","alltimefb_3 and out","alltimefb_Non-Sat","alltimefb_Opp W","alltimefb_Opp L","alltimefb_Opp T","alltimefb_Opp Bowl","alltimefb_Line","alltimefb_TV Viewers","alltimefb_TV rating","alltimefb_Conf gm","alltimefb_1st 3 gms","alltimefb_1st 4 gms","alltimefb_Pts Ald-4","alltimefb_5 gms-PF","alltimefb_30 pt gms","alltimefb_X__1","alltimefb_Upset"
"211","Sept. 21",1968,"CLEMSON",565,"T",52,166,3,NA,"9","118",0,NA,"8","20","1","118",0,NA,4,117,"0",NA,3,-2,0,NA,284,72,"17",8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,206,2,NA,2,16,"0",NA,"2",8,0,"16",0,NA,3,68,0,NA,4,39,0,NA,222,"14",11,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","20-20",20,20,0,"T",22000,"ACC","H","0-1-1","0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-1-1","15-26-1","Bill Tate","Frank Howard",40,NA,NA,2,566,NA,"SC",NA,NA,NA,"2:00",NA,NA,NA,"85","clear","ABC Regional","Merle Harmon","Ralph Guglielmi",NA,NA,NA,NA,NA,NA,"pre",565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"Tigers",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"212","Oct. 5",1968,"MINNESOTA",566,"L",47,126,1,NA,"24","308",2,NA,"24","49","5","308",2,NA,6,85,"0",NA,2,26,0,NA,434,96,"22",6,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,203,2,NA,17,190,"1",NA,"17",32,1,"190",1,NA,2,20,0,NA,1,0,0,NA,393,"22",11,"9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","19-24",19,24,-5,"L",39277,"Big 10","A",NA,"0-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-2-1",NA,"Bill Tate","Murray Warmath",43,NA,NA,3,567,NA,"MN",NA,NA,NA,"1:30",NA,NA,NA,"50","rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",566,NA,NA,NA,NA,NA,NA,NA,NA,NA,"309",NA,NA,NA,NA,"Golden Gophers",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA
"213","Oct. 12",1968,"VIRGINIA TECH",567,"L",49,164,1,NA,"7","78",0,NA,"7","21","4","78",0,NA,1,27,"0",NA,6,24,0,NA,242,70,"15",7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,107,1,NA,8,91,"0",NA,"8",14,1,"91",0,NA,1,6,0,NA,4,-3,0,NA,198,"8",3,"5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","6-7",6,7,-1,"L",31000,"Ind","A",NA,"1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-3-1",NA,"Bill Tate","Jerry Claiborne",13,NA,NA,4,568,NA,"VA",NA,NA,NA,"1:30",NA,NA,NA,"70","cloudy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310",NA,NA,NA,NA,"Hokies",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberty",NA,NA,NA,NA,NA,51,61,NA,NA,NA,NA
"214","Oct. 19",1968,"PURDUE",568,"L",62,172,2,NA,"20","182",1,NA,"20","31","0","182",1,NA,5,85,"0",NA,5,32,0,NA,354,93,"24",13,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,320,4,NA,5,42,"0",NA,"5",15,0,"42",0,NA,5,94,0,NA,1,13,0,NA,362,"19",16,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","27-28",27,28,-1,"L",57694,"Big 10","A",NA,"3-1",NA,NA,NA,NA,"5","5",NA,NA,NA,"0-4-1",NA,"Bill Tate","Jack Mollenkopf",55,NA,NA,5,569,NA,"IN",NA,NA,NA,"1:30",NA,NA,NA,"67","clear and sunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311",NA,NA,NA,NA,"Boilermakers",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA
"215","Oct. 26",1968,"NORTH CAROLINA",569,"W",63,421,4,NA,"10","211",2,NA,"10","12","0","211",2,NA,1,17,"0",NA,2,5,0,NA,632,75,"26",19,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,281,2,NA,16,243,"2",NA,"16",36,3,"243",2,NA,6,97,0,NA,1,-4,0,NA,524,"23",11,"9","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","48-31",48,31,17,"W",30000,"ACC","H","1-1-1","2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-4-1",NA,"Bill Tate","Bill Dooley",79,NA,1,6,570,NA,"NC",NA,NA,NA,"1:30",NA,NA,NA,"54","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,"W",NA,NA,NA,"228",NA,NA,NA,NA,NA,"Tar Heels",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"216","Nov. 2",1968,"MARYLAND",570,"W",49,226,4,NA,"17","202",1,NA,"17","27","2","202",1,NA,3,49,"0",NA,5,29,0,NA,428,76,"20",6,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,140,1,NA,20,244,"1",NA,"20",37,3,"244",1,NA,6,49,0,NA,3,15,0,NA,384,"21",8,"13","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","38-14",38,14,24,"W",15500,"ACC","H","2-1-1","2-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-4-1",NA,"Bill Tate","Bob Ward",52,NA,2,7,571,NA,"MD",NA,NA,NA,"1:30",NA,NA,NA,"78","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,NA,NA,NA,NA,NA,NA,NA,NA,"229",NA,NA,NA,NA,NA,"Terrapins",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"217","Nov. 9",1968,"SOUTH CAROLINA",571,"L",43,77,2,NA,"12","138",1,NA,"12","27","5","138",1,NA,6,134,"0",NA,8,94,0,NA,215,70,"12",3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,209,1,NA,10,161,"4",NA,"10",21,1,"161",4,NA,4,75,0,NA,5,33,0,NA,370,"15",6,"7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","21-34",21,34,-13,"L",16000,"ACC","H","2-2-1","5-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-5-1",NA,"Bill Tate","Paul Dietzel",55,NA,NA,8,572,NA,"SC",NA,NA,NA,"1:30",NA,NA,NA,"40","rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571,NA,NA,NA,"X",NA,NA,NA,NA,NA,"312",NA,NA,NA,NA,"Gamecocks",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"218","Nov. 16",1968,"DUKE",572,"L",39,118,0,NA,"17","242",0,NA,"17","33","3","292",0,NA,4,127,"0",NA,1,4,0,NA,360,72,"18",7,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,183,1,NA,20,282,"2",NA,"20",28,0,"282",2,NA,2,52,0,NA,1,18,0,NA,465,"22",7,"14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","3-18",3,18,-15,"L",17500,"ACC","A","2-3-1","3-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-6-1",NA,"Bill Tate","Tom Harp",21,NA,NA,9,573,NA,"NC",NA,NA,NA,"2:00",NA,NA,NA,"63","heavy overcast, intermittent rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,NA,NA,NA,NA,"L",NA,NA,NA,NA,"313",NA,NA,NA,NA,"Blue Devils",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"219","Nov. 23",1968,"FLORIDA STATE",573,"L",46,179,0,NA,"7","112",3,NA,"7","21","4","112",3,NA,6,114,"0",NA,1,4,0,NA,291,67,"16",10,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,258,1,NA,23,364,"5",NA,"23",35,1,"364",5,NA,4,101,0,NA,1,9,0,NA,622,"33",14,"18","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","24-42",24,42,-18,"L",35108,"Ind","A",NA,"6-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-7-1",NA,"Bill Tate","Bill Peterson",66,NA,NA,10,574,NA,"FL",NA,NA,NA,"2:00",NA,NA,NA,"70","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573,NA,NA,NA,NA,NA,NA,NA,NA,"229","314","30",0.425828970331588,NA,NA,"Seminoles",NA,NA,"Summers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,"Peach",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA
"220","Sept. 13",1969,"NC STATE",574,"W",49,132,2,NA,"7","98",1,NA,"7","12","0","98",1,NA,4,107,"0",NA,2,24,0,NA,230,61,"12",8,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","22-21",22,21,1,"W",36900,"ACC","A","1-0","0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-0","1-0","Cal Stoll","Earle Edwards",43,NA,1,1,575,NA,"NC",NA,NA,NA,"7:30",NA,"PxP only, no stats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,NA,"W",NA,NA,"W",NA,"WF 2 pt conversion to win",NA,"230",NA,NA,NA,NA,NA,"Wolfpack",NA,NA,"Russell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"221","Sept. 20",1969,"AUBURN",575,"L",45,96,0,NA,"7","52",0,NA,"7","22","3","52",0,NA,3,58,"0",NA,0,0,0,NA,148,67,"10",6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,390,5,NA,16,202,"2",NA,"16",19,0,"202",2,NA,0,0,0,NA,9,159,1,NA,592,"32",16,"12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","0-57",0,57,-57,"L",35000,"SEC","A",NA,"0-0",NA,NA,NA,NA,"20","20",NA,NA,NA,"1-1","1-1","Cal Stoll","Shug Jordan",57,NA,NA,2,576,NA,"AL",NA,NA,NA,"1:30",NA,NA,NA,"69","cloudy, chance of rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,"315",NA,NA,NA,NA,"Tigers",NA,NA,"Russell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,"Bluebonnet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Sept. 27",1969,"VIRGINIA TECH",576,"W",62,239,2,NA,"7","73",0,NA,"7","13","1","73",0,NA,2,20,"0",NA,3,9,0,NA,312,75,"18",13,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,179,1,NA,6,81,"0",NA,"6",23,3,"81",0,NA,4,53,0,NA,6,43,0,NA,260,"14",10,"3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","16-10",16,10,6,"W",20000,"Ind","H",NA,"0-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-1","2-1","Cal Stoll","Jerry Claiborne",26,NA,1,3,577,NA,"VA",NA,NA,NA,"7:30",NA,NA,NA,"76","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,NA,NA,NA,NA,NA,NA,NA,NA,"231",NA,NA,NA,NA,NA,"Hokies",NA,NA,"Russell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA
"223","Oct. 4",1969,"MARYLAND",577,"L",59,315,1,NA,"3","31",0,NA,"3","10","2","31",0,NA,4,54,"0",NA,1,10,0,NA,346,69,"19",16,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,364,3,NA,1,9,"0",NA,"1",1,0,"9",0,NA,4,96,0,NA,3,27,0,NA,373,"20",18,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","14-19",14,19,-5,"L",16000,"ACC","H","1-1","0-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-2","2-2","Cal Stoll","Roy Lester",33,NA,NA,4,578,NA,"MD",NA,NA,NA,"7:30",NA,NA,NA,"70","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,NA,NA,"L",NA,NA,NA,NA,NA,NA,"316",NA,NA,NA,NA,"Terrapins",NA,NA,"Russell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,52,107,NA,NA,NA,NA
"224","Oct. 11",1969,"DUKE",578,"L",59,230,2,NA,"10","113",0,NA,"10","16","0","113",0,NA,5,87,"0",NA,0,0,0,NA,343,75,"21",15,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,110,3,NA,21,262,"1",NA,"21",28,2,"262",1,NA,4,66,0,NA,6,58,0,NA,372,"20",6,"11","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","20-27",20,27,-7,"L",21000,"ACC","H","1-2","0-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-3","2-3","Cal Stoll","Tom Harp",47,NA,NA,5,579,NA,"NC",NA,NA,NA,"1:30",NA,NA,NA,"73","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,NA,NA,NA,"X","L",NA,NA,NA,NA,"317",NA,NA,NA,NA,"Blue Devils",NA,NA,"Russell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,72,NA,NA,NA
