Class,Pos,"Name (last, first)",Year,Gms,Solo,Asst,Total,TFL,Yds,Sacks,Yds,Int,Yds,ITD,PBU,QBH,FR,Yd,FF,Blk Kick,Safety,Total Check,Diff,PDF,Tkls/Gm,Tm Rank,PDF
SO,DE,"Davis, Anthony",2006,14,6,4,10,0.0,0,0,0,0,0,,2,,1,0,0,0,0,10,0,2,0.7,,2
SO,CB,"Major, Kerry",2006,14,6,4,10,0.0,0,0,0,0,0,,1,,0,0,0,0,0,10,0,1,0.7,,1
SO,LB,"McClinic, Chantz",2006,12,3,3,6,0.0,0,0,0,0,0,,0,,0,0,0,0,0,6,0,0,0.5,,0
SO,DE,"Wilson, Antonio",2006,5,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.4,,0
RS,DE,"Robinson, Boo",2006,14,15,20,35,2.5,9,2.5,9,1,14,,1,,0,0,0,0,0,35,0,2,2.5,,2
RS,DT,"Russell, John",2006,13,12,7,19,2.0,7,1,3,0,0,,0,,0,0,0,0,0,19,0,0,1.5,,0
RS,LB,"Midgett, Dominique",2006,14,2,2,4,0.0,0,0,0,0,0,,0,,0,0,0,0,0,4,0,0,0.3,,0
RS,CB,"Schofield, Channing",2006,11,1,2,3,0.0,0,0,0,0,0,,0,,0,0,1,0,0,3,0,0,0.3,,0
RS,TE,"Randolph, Ted",2006,5,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,1,1,0,0,0.2,,0
Jr,LB,"Abbate, Jon",2006,14,46,74,120,7.0,26,3,13,1,3,,3,,1,0,1,0,0,120,0,4,8.6,,4
JR,DT,"Stukes, Zach",2006,14,20,22,42,4.0,16,2.5,13,0,0,,1,,0,0,0,1,0,42,0,1,3.0,,1
JR,DE,"Thompson, Jeremy",2006,14,15,15,30,4.5,17,1,9,1,86,,3,,0,0,0,0,0,30,0,4,2.1,,4
JR,LB,"Simmons, Mike",2006,14,6,3,9,0.0,0,0,0,0,0,,0,,0,0,0,0,0,9,0,0,0.6,,0
JR,S,"Mason, Aaron",2006,9,3,1,4,0.0,0,0,0,0,0,,0,,0,0,0,0,0,4,0,0,0.4,,0
JR,TE,"Tereshinski, John",2006,14,3,0,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.2,,0
