Class,Pos,"Name (last, first)",Year,Gms,Solo,Asst,Total,TFL,Yds,Sacks,Yds,Int,Yds,ITD,PBU,QBH,FR,Yd,FF,Blk Kick,Safety,Total Check,Diff,PDF,Tkls/Gm,Tm Rank,PDF
Fr,NT,"Scales, Goryal",2002,13,11,11,22,4.0,13,0,0,0,0,,0,,0,0,0,0,0,22,0,0,1.7,,0
Fr,S,"Simmons, Robert",2002,11,2,1,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
FR,WR,"Davis, Chris",2002,13,1,0,1,0.0,0,0,0,0,0,,0,,1,0,0,0,0,1,0,0,0.1,,0
Sr,ILB,"Hopkins, Marquis",2001,11,75,50,125,8.0,24,2,12,0,0,,4,,1,0,1,0,0,125,0,4,11.4,1,4
Sr,DE,"Bolling, Nate",2001,11,43,30,73,21.0,57,5,26,0,0,,1,,0,0,1,0,0,73,0,1,6.6,,1
Sr,OLB,"Kargbo-Okorogie, E.",2001,11,46,24,70,7.0,21,2,10,2,0,,3,,0,0,0,0,0,70,0,5,6.4,,5
SR,DB,"Duncan, Adrian",2001,8,16,9,25,3.0,15,1,7,1,0,,3,,0,0,0,0,0,25,0,4,3.1,,4
SR,C,"Azzolina, Vince",2001,11,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
SR,ILB,"Myers, Matt",2001,5,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.2,,0
So,OLB,"Brantley, Kellen",2001,11,50,45,95,11.0,43,3,22,3,48,,4,,1,0,1,0,0,95,0,7,8.6,,7
So,DB,"Williams, Quintin",2001,11,48,24,72,1.0,4,0,0,2,7,,11,,0,0,2,0,0,72,0,13,6.5,,13
So,DB,"Chukwumah, Obi",2001,10,30,23,53,2.0,2,0,0,0,0,,2,,0,0,1,0,0,53,0,2,5.3,,2
SO,LB,"Williams, Dion",2001,3,3,3,6,0.0,0,0,0,0,0,,0,,1,0,0,0,0,6,0,0,2.0,,0
So,LB,"Argrow, Jamaal",2001,3,2,2,4,0.0,0,0,0,0,0,,0,,0,0,0,0,0,4,0,0,1.3,,0
SO,DB,"Perez, Ricky",2001,11,2,1,3,0.0,0,0,0,0,0,,1,,0,0,0,0,0,3,0,1,0.3,,1
SO,DB,"Shaw, Daryl",2001,10,3,0,3,0.0,0,0,0,0,0,,1,,0,0,0,0,0,3,0,1,0.3,,1
SO,DB,"Dayton, Drew",2001,11,0,2,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
SO,QB,"Young, Anthony",2001,6,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.2,,0
RS,DB,"McGruder, Marcus",2001,11,39,13,52,3.0,13,2,12,3,0,,9,,0,0,0,0,0,52,0,12,4.7,,12
RS,DB,"Bracy, Caron",2001,11,26,13,39,2.0,3,0,0,1,16,,2,,2,0,0,0,0,39,0,3,3.5,,3
RS,OLB,"Hamlar, Mike",2001,8,12,9,21,0.0,0,0,0,1,0,,0,,0,0,0,0,0,21,0,1,2.6,,1
RS,FB,"Harris, Trevor",2001,11,2,5,7,0.0,0,0,0,0,0,,0,,0,0,0,0,0,7,0,0,0.6,,0
RS,DE,"Salsich, Joe",2001,9,1,4,5,0.0,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,0.6,,0
RS,OLB,"White, Tyrek",2001,11,0,2,2,2.0,16,1,10,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
RS,OLB,"Montgomery, R.D.",2001,8,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.3,,0
RS,TE,"Nichols, Jerome",2001,10,1,0,1,1.0,1,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,NT,"Scales, Goryal",2001,2,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.5,,0
Jr,DE,"Pace, Calvin",2001,11,36,26,62,18.0,65,10,56,0,0,,1,,0,0,4,0,0,62,0,1,5.6,,1
Jr,NT,"Sharpe, Montique",2001,11,24,28,52,7.0,30,5,25,0,0,,2,,1,0,1,0,0,52,0,2,4.7,,2
JR,ILB,"Scott, Jamie",2001,10,13,18,31,1.0,2,0,0,0,0,,1,,0,0,1,1,0,31,0,1,3.1,,1
JR,LB,"Simmons, Walter",2001,11,17,6,23,2.0,14,2,14,0,0,,1,,1,0,0,0,0,23,0,1,2.1,,1
JR,DE,"Stephen, Roderick",2001,11,9,8,17,1.0,3,0,0,0,0,,0,,0,0,0,0,0,17,0,0,1.5,,0
JR,TE,"Thomas, Ray",2001,11,4,3,7,0.0,0,0,0,0,0,,0,,0,0,0,0,0,7,0,0,0.6,,0
Jr,FB,"Mughelli, Ovie",2001,11,2,2,4,0.0,0,0,0,0,0,,0,,0,0,0,0,0,4,0,0,0.4,,0
Jr,WR,"Landfried, Jax",2001,11,1,1,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
Jr,DB,"Ivey, Elliot",2001,1,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,1.0,,0
JR,OT,"Walters, David",2001,9,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
Fr,DB,"King, Eric",2001,11,46,9,55,2.0,3,0,0,0,0,,6,,2,0,1,0,0,55,0,6,5.0,,6
SR,LB,"Bender, Nick",2000,11,66,26,92,14.0,54,4,34,0,0,,0,,1,0,1,0,0,92,0,0,8.4,,0
Sr,DL,"Ray, Bryan",2000,11,34,20,54,13.0,59,6,32,0,0,,5,,1,0,1,0,0,54,0,5,4.9,,5
Sr,DT,"Mellerson, DaVaughn",2000,9,13,17,30,2.0,8,2,8,0,0,,1,,0,0,0,0,0,30,0,1,3.3,,1
SR,DB,"Koch, Mike",2000,5,11,4,15,1.0,1,0,0,0,0,,1,,0,0,0,0,0,15,0,1,3.0,,1
SR,WR,"Jordan, Jon",2000,3,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.3,,0
SR,RB,"McCoy, Chris",2000,8,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
SR,WR,"Modelski, Chris",2000,3,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.3,,0
So,DE,"Pace, Calvin",2000,11,33,17,50,12.0,74,9,67,0,0,,0,,1,0,1,0,0,50,0,0,4.5,,0
So,NT,"Sharpe, Montique",2000,11,21,13,34,4.0,11,0,0,0,0,,1,,1,0,0,0,0,34,0,1,3.1,,1
SO,DE,"Stephen, Roderick",2000,10,12,10,22,4.0,25,4,25,0,0,,0,,0,0,0,0,0,22,0,0,2.2,,0
SO,LB,"Simmons, Walter",2000,10,15,6,21,3.0,24,1,15,0,0,,0,,0,0,0,0,0,21,0,0,2.1,,0
SO,WR,"Davis, Fabian",2000,11,4,2,6,0.0,0,0,0,0,0,,0,,0,0,0,0,0,6,0,0,0.5,,0
SO,DB,"Ivey, Elliot",2000,2,4,1,5,0.0,0,0,0,0,0,,1,,0,0,0,0,0,5,0,1,2.5,,1
SO,DB,"Dayton, Drew",2000,2,3,2,5,0.0,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,2.5,,0
So,WR,"Landfried, Jax",2000,7,5,0,5,0.0,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,0.7,,0
SO,DT,"Toguchi, Masonori",2000,4,2,2,4,1.0,3,0,0,0,0,,1,,1,0,0,0,0,4,0,1,1.0,,1
SO,P,"Brennie, Matt",2000,11,1,0,1,1.0,2,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
So,FB,"Mughelli, Ovie",2000,10,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
SO,TE,"Thomas, Ray",2000,9,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
SO,RB,"Williams, Tarence",2000,11,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,LB,"Williams, Dion",2000,9,9,15,24,2.0,2,0,0,0,0,,0,,0,0,1,0,0,24,0,0,2.7,,0
RS,DB,"Chukwumah, Obi",2000,7,11,7,18,0.0,0,0,0,1,0,,0,,0,0,0,0,0,18,0,1,2.6,,1
RS,DB,"Perez, Ricky",2000,6,10,3,13,0.0,0,0,0,0,0,,1,,0,0,0,0,0,13,0,1,2.2,,1
RS,LB,"Argrow, Jamaal",2000,2,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,1.0,,0
JR,LB,"Hopkins, Marquis",2000,11,63,37,100,3.0,5,0,0,0,0,,4,,0,0,0,0,0,100,0,4,9.1,1,4
Jr,DE,"Bolling, Nate",2000,10,34,18,52,11.0,61,4,45,0,0,,2,,1,0,1,0,0,52,0,2,5.2,,2
JR,DB,"Clinkscale, Michael",2000,11,36,11,47,2.0,7,0,0,2,15,,6,,1,0,0,0,0,47,0,8,4.3,,8
JR,DE,"Duncan, Adrian",2000,11,42,4,46,4.0,1,0,0,2,6,,9,,1,59,1,0,0,46,0,11,4.2,,11
JR,DB,"Carpenter, Tehran",2000,9,24,6,30,1.0,1,0,0,0,0,,1,,1,0,0,0,0,30,0,1,3.3,,1
Jr,LB,"Kargbo-Okorogie, Ed",2000,11,22,5,27,5.0,15,1,5,1,13,,0,,0,0,0,0,0,27,0,1,2.5,,1
JR,DB,"Justice, Chris",2000,6,10,4,14,1.0,2,0,0,1,0,,1,,0,0,0,0,0,14,0,2,2.3,,2
JR,RB,"Myers, Matt",2000,2,2,1,3,1.0,7,1,7,0,0,,0,,0,0,0,0,0,3,0,0,1.5,,0
JR,WR,"Stone, John",2000,11,1,1,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
JR,PK,"Ashe, Tyler",2000,11,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
JR,OL,"Houk, Seth",2000,2,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.5,,0
JR,DE,"McGuire, Milo",2000,1,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,1.0,,0
JR,WR,"Williams, Ira",2000,11,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
Fr,DB,"Williams, Quintin",2000,8,26,5,31,0.0,0,0,0,2,48,,3,,0,0,1,0,0,31,0,5,3.9,,5
Fr,OLB,"Brantley, Kellen",2000,11,23,3,26,0.0,0,0,0,0,0,,0,,0,0,1,0,0,26,0,0,2.4,,0
Fr,DB,"Braxton, Warren",2000,2,5,1,6,0.0,0,0,0,0,0,,0,,0,0,0,0,0,6,0,0,3.0,,0
Fr,DB,"Bracy, Caron",2000,4,2,1,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.8,,0
FR,OT,"Clabo, Tyson",2000,2,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.5,,0
FR,DT,"Eason, Rod",2000,1,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,1.0,,0
FR,WR,"Young, Anthony",2000,9,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
Sr,LB,"Moses, Kelvin",1999,10,44,26,70,8.0,25,2,13,2,9,,0,,1,,1,,,70,0,2,7.0,1,2
Sr,DB,"Parrish, DaLawn",1999,10,42,27,69,0.0,0,0,0,2,18,,1,,1,,0,,,69,0,3,6.9,,3
Sr,LB,"Lyman, Dustin",1999,9,34,22,56,7.0,38,2,21,0,0,,4,,2,,1,,,56,0,4,6.2,,4
Sr,DB,"Moore, David",1999,11,39,7,46,3.0,3,0,0,1,0,,5,,1,,0,,,46,0,6,4.2,,6
Sr,DT,"Robbins, Fred",1999,11,35,9,44,15.0,48,5,27,0,0,,1,,1,,2,,,44,0,1,4.0,,1
Sr,DB,"Austin, Reggie",1999,11,31,10,41,0.0,0,0,0,2,1,,5,,0,,2,,,41,0,7,3.7,,7
Sr,DE,"Jones, Kelvin",1999,11,19,9,28,6.0,15,1,2,0,0,,1,,1,,0,,,28,0,1,2.5,,1
Sr,dt,"Shackleford, Kelvin",1999,11,9,6,15,2.0,7,1,6,0,0,,0,,0,,0,,,15,0,0,1.4,,0
Sr,DT,"Taylor, Rufus",1999,11,8,3,11,2.0,8,1,6,0,0,,0,,0,,0,,,11,0,0,1.0,,0
SR,DE,"Smith, Brad",1999,11,5,3,8,0.0,0,0,0,0,0,,1,,0,,0,,,8,0,1,0.7,,1
SR,LB,"Smith, Kevin",1999,11,3,1,4,0.0,0,0,0,0,0,,1,,0,,0,,,4,0,1,0.4,,1
SR,WR,"Deese, Jammie",1999,11,1,0,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.1,,0
Sr,LB,"Guice, Abdul",1999,5,1,0,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.2,,0
sr,fb,"Kane, Morgan",1999,11,0,1,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.1,,0
So,DB,"Duncan, Adrian",1999,10,30,8,38,2.0,13,1,12,3,71,,2,,0,,0,,,38,0,5,3.8,,5
So,LB,"Hopkins, Marquis",1999,11,10,8,18,3.0,22,2,18,0,0,,0,,0,,0,,,18,0,0,1.6,,0
So,DE,"Bolling, Nate",1999,10,9,7,16,2.0,4,0,0,0,0,,1,,0,,0,,,16,0,1,1.6,,1
so,lb,"DeOrio, Mark",1999,6,7,8,15,1.0,1,0,0,0,0,,2,,0,,0,,,15,0,2,2.5,,2
SO,DB,"Carpenter, Tehran",1999,9,10,4,14,2.0,2,0,0,2,32,,1,,0,,0,,,14,0,3,1.6,,3
So,LB,"Kargbo-Okorogie, Ed",1999,9,9,4,13,1.0,9,1,9,0,0,,0,,0,,0,,,13,0,0,1.4,,0
SO,DB,"Clinkscale, Michael",1999,8,5,2,7,1.0,2,0,0,0,0,,0,,0,,1,,,7,0,0,0.9,,0
SO,PK,"Ashe, Tyler",1999,11,0,1,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.1,,0
SO,C,"Azzolina, Vince",1999,11,1,0,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.1,,0
RS,WR,"Davis, Fabian",1999,10,4,1,5,0.0,0,0,0,0,0,,0,,1,,0,,,5,0,0,0.5,,0
RS,DE,"Pace, Calvin",1999,7,4,0,4,2.0,12,2,12,0,0,,1,,0,,0,,,4,0,1,0.6,,1
Jr,DE,"Ray, Bryan",1999,11,34,18,52,19.0,91,10,71,0,0,,1,,0,,3,,,52,0,1,4.7,,1
JR,DB,"Smith, Keyshorn",1999,11,24,11,35,2.0,6,0,0,1,35,,1,,0,,1,,,35,0,2,3.2,,2
Jr,LB,"Bender, Nick",1999,9,10,7,17,0.0,0,0,0,0,0,,0,,0,,0,,,17,0,0,1.9,,0
Jr,DT,"Mellerson, DaVaughn",1999,7,4,4,8,0.0,0,0,0,0,0,,1,,0,,0,,,8,0,1,1.1,,1
JR,LB,"Koch, Mike",1999,11,4,0,4,0.0,0,0,0,0,0,,0,,0,,0,,,4,0,0,0.4,,0
Fr,LB,"Argrow, Jamaal",1999,11,5,4,9,0.0,0,0,0,0,0,,0,,0,,0,,,9,0,0,0.8,,0
FR,DE,"Stephen, Roderick",1999,11,3,5,8,1.0,5,0,0,0,0,,1,,0,,0,,,8,0,1,0.7,,1
FR,LB,"Simmons, Walter",1999,11,6,2,8,1.0,1,0,0,0,0,,0,,0,,0,,,8,0,0,0.7,,0
Fr,NT,"Sharpe, Montique",1999,7,5,1,6,0.0,0,0,0,0,0,,0,,1,,0,,,6,0,0,0.9,,0
Fr,WR,"Landfried, Jax",1999,2,0,1,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.5,,0
Fr,FB,"Mughelli, Ovie",1999,10,1,0,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.1,,0
SR-2,LB,"Moses, Kelvin",1998,2,3,1,4,0.0,0,0,0,0,0,,0,,0,,0,,,4,0,0,2.0,,0
Sr,DB,"Muyres, Jeffrey",1998,11,50,28,78,1.0,3,0,0,2,75,,3,,1,,3,,,78,0,5,7.1,1,5
Sr,LB,"Makovec, Mark",1998,11,50,20,70,14.0,50,5,30,3,41,,3,,0,,0,,,70,0,6,6.4,,6
Sr,DB,"Daniel, Dameon",1998,11,43,15,58,3.0,6,0,0,1,10,,1,,0,,0,,,58,0,2,5.3,,2
Sr,LB,"Mannon, Jon",1998,5,7,5,12,1.0,3,0,0,0,0,,0,,0,,0,,,12,0,0,2.4,,0
SR,DB,"Wright, Wayne",1998,1,5,1,6,0.0,0,0,0,0,0,,0,,0,,0,,,6,0,0,6.0,,0
SO,DE,"Petz, Mat",1998,11,38,24,62,15.0,44,6,24,0,0,,1,,0,,0,,,62,0,1,5.6,,1
So,DE,"Ray, Bryan",1998,11,30,21,51,6.0,32,2,17,0,0,,1,,0,,1,,,51,0,1,4.6,,1
SO,LB,"Bender, Nick",1998,11,26,13,39,5.0,13,2,8,0,0,,1,,2,,0,,,39,0,1,3.5,,1
SO,DB,"Smith, Keyshorn",1998,8,4,2,6,0.0,0,0,0,0,0,,0,,0,,0,,,6,0,0,0.8,,0
RS,DB,"Duncan, Adrian",1998,10,11,5,16,2.0,2,0,0,1,0,,4,,0,,1,,,16,0,5,1.6,,5
RS,DB,"Carpenter, Tehran",1998,8,11,4,15,0.0,0,0,0,0,0,,0,,1,,0,,,15,0,0,1.9,,0
RS,DB,"Clinkscale, Michael",1998,6,9,1,10,0.0,0,0,0,1,24,,0,,0,,0,,,10,0,1,1.7,,1
RS,DB,"DeOrio, Mark",1998,6,6,3,9,0.0,0,0,0,0,0,,0,,1,,1,,,9,0,0,1.5,,0
RS,LB,"Hopkins, Marquis",1998,11,4,4,8,0.0,0,0,0,0,0,,0,,0,,0,,,8,0,0,0.7,,0
Jr,DB,"Parrish, DaLawn",1998,11,60,16,76,10.0,33,1,5,2,26,,1,,0,,0,,,76,0,3,6.9,,3
Jr,LB,"Guice, Abdul",1998,11,34,37,71,7.0,28,3,23,0,0,,0,,0,,1,,,71,0,0,6.5,,0
Jr,LB,"Lyman, Dustin",1998,5,38,24,62,5.0,16,1,7,0,0,,2,2,1,,0,,,62,0,2,12.4,,2
Jr,DT,"Robbins, Fred",1998,11,39,17,56,9.0,33,3,21,0,0,,2,,1,,0,,,56,0,2,5.1,,2
Jr,DB,"Moore, David",1998,9,26,9,35,1.0,2,0,0,2,10,,2,,0,,1,,,35,0,4,3.9,,4
Jr,DT,"Jones, Kelvin",1998,10,17,12,29,3.0,13,1,6,0,0,,0,,3,,0,,,29,0,0,2.9,,0
Jr,DB,"Austin, Reggie",1998,11,17,9,26,0.0,0,0,0,4,45,,4,,0,,1,,,26,0,8,2.4,,8
JR,DE,"Wilburn, Clinton",1998,11,9,9,18,3.0,8,2,7,0,0,,0,,0,,0,,,18,0,0,1.6,,0
Jr,DT,"Shackleford, Kelvin",1998,3,6,3,9,0.0,0,0,0,0,0,,0,,0,,0,,,9,0,0,3.0,,0
Jr,DT,"Taylor, Rufus",1998,10,4,5,9,0.0,0,0,0,0,0,,0,,1,,0,,,9,0,0,0.9,,0
JR,DE,"Smith, Brad",1998,6,0,1,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.2,,0
Fr,DE,"Bolling, Nate",1998,11,14,17,31,6.0,22,3,19,0,0,,0,,0,,0,,,31,0,0,2.8,,0
Fr,LB,"Kargbo-Okorogie, Ed",1998,8,6,3,9,1.0,12,1,12,0,0,,0,,0,,0,,,9,0,0,1.1,,0
SR-1,LB,"Moses, Kelvin",1997,11,49,37,86,8.0,48,4,38,1,10,,5,,0,,0,,,86,0,6,7.8,,6
Sr,DB,"Solomon, D'Angelo",1997,11,53,19,72,1.0,1,0,0,1,39,,7,,2,,1,,,72,0,8,6.5,,8
Sr,LB,"Zadel, David",1997,11,47,20,67,9.0,30,2,14,1,7,,3,,0,,0,,,67,0,4,6.1,,4
Sr,DB,"Suber, Terrence",1997,10,32,24,56,1.0,2,0,0,0,0,,0,,3,,0,,,56,0,0,5.6,,0
Sr,DE,"Fatzinger, Robert",1997,11,18,19,37,4.0,13,2,11,0,0,,2,,1,,0,,,37,0,2,3.4,,2
Sr,DT,"Joyner, Aljamont",1997,7,18,7,25,7.0,11,0,0,0,0,,0,,0,,0,,,25,0,0,3.6,,0
So,LB,"Lyman, Dustin",1997,11,58,35,93,9.0,65,7,58,1,41,,8,,0,,1,,,93,0,9,8.5,1,9
So,DB,"Parrish, DaLawn",1997,11,39,15,54,1.0,8,1,8,1,0,,2,,0,,2,,,54,0,3,4.9,,3
So,DT,"Shackleford, Kelvin",1997,11,26,20,46,9.0,42,4,33,0,0,,1,,0,,0,,,46,0,1,4.2,,1
So,DT,"Robbins, Fred",1997,11,29,9,38,9.0,32,4,25,0,0,,2,,0,,0,,,38,0,2,3.5,,2
So,DB,"Austin, Reggie",1997,11,26,6,32,1.0,2,1,2,2,16,,5,,0,,0,,,32,0,7,2.9,,7
So,DE,"Jones, Kelvin",1997,10,17,12,29,3.0,13,1,6,0,0,,0,,1,,0,,,29,0,0,2.9,,0
So,DB,"Moore, David",1997,10,18,7,25,1.0,8,1,8,0,0,,2,,1,,1,,,25,0,2,2.5,,2
SO,DE,"Wilburn, Clinton",1997,11,9,9,18,3.0,8,2,7,0,0,,0,,0,,0,,,18,0,0,1.6,,0
So,DE,"Mellerson, DaVaughn",1997,11,10,7,17,3.0,4,0,0,1,2,,1,,0,,0,,,17,0,2,1.5,,2
So,LB,"Guice, Abdul",1997,10,6,2,8,1.0,1,0,0,0,0,,1,,0,,0,,,8,0,1,0.8,,1
rs,db,"Smith, Keyshorn",1997,5,11,3,14,0.0,0,0,0,0,0,,1,,0,,0,,,14,0,1,2.8,,1
RS,LB,"Ray, Bryan",1997,6,5,1,6,1.0,9,1,9,0,0,,0,,0,,0,,,6,0,0,1.0,,0
Jr,DB,"Muyres, Jeffrey",1997,10,24,19,43,1.0,1,0,0,0,0,,0,,0,,0,,,43,0,0,4.3,,0
Jr,DB,"Daniel, Dameon",1997,11,20,14,34,0.0,0,0,0,1,39,,3,,0,,0,,,34,0,4,3.1,,4
Jr,LB,"Mannon, Jon",1997,10,10,10,20,1.0,3,0,0,0,0,,0,,0,,0,,,20,0,0,2.0,,0
Jr,LB,"Makovec, Mark",1997,8,9,7,16,1.0,9,1,9,0,0,,2,,0,,0,,,16,0,2,2.0,,2
Sr,DB,"Stuetzer, Tom",1996,11,59,22,81,2.0,6,0,0,1,0,,8,,1,,1,,,81,0,9,7.4,,9
Sr,DE,"Gragg, Harold",1996,11,32,32,64,8.0,34,3,22,0,0,,1,,2,,1,,,64,0,1,5.8,,1
Sr,DB,"Griffey, Major",1996,11,18,4,22,0.0,0,0,0,0,0,,0,,0,,0,,,22,0,0,2.0,,0
Sr,DT,"Simpkins, Jerome",1996,7,5,4,9,0.0,0,0,0,0,0,,2,,0,,0,,,9,0,2,1.3,,2
So,DB,"Muyres, Jeffrey",1996,11,58,19,77,0.0,0,0,0,0,0,,2,,0,,1,,,77,0,2,7.0,,2
So,LB,"Mannon, Jon",1996,11,31,31,62,5.0,6,0,0,0,0,,0,,0,,0,,,62,0,0,5.6,,0
So,DB,"Daniel, Dameon",1996,10,25,15,40,0.0,0,0,0,0,0,,6,,0,,1,,,40,0,6,4.0,,6
So,LB,"Makovec, Mark",1996,9,22,7,29,2.0,15,0,0,0,0,,1,,3,,0,,,29,0,1,3.2,,1
So,DE,"Taylor, Rufus",1996,11,4,8,12,1.0,2,0,0,0,0,,0,,0,,0,,,12,0,0,1.1,,0
so,db,"Depenbrock, Patrick",1996,3,2,0,2,0.0,0,0,0,0,0,,0,,0,,0,,,2,0,0,0.7,,0
RS,LB,"Lyman, Dustin",1996,10,42,40,82,3.0,14,1,11,0,0,,1,,1,,1,,,82,0,1,8.2,,1
RS,DT,"Robbins, Fred",1996,11,29,22,51,11.0,38,3,18,0,0,,0,,0,,0,,,51,0,0,4.6,,0
RS,LB,"Guice, Abdul",1996,9,9,7,16,3.0,5,0,0,0,0,,0,,0,,0,,,16,0,0,1.8,,0
RS,DB,"Parrish, DaLawn",1996,1,2,4,6,0.0,0,0,0,0,0,,1,,1,,0,,,6,0,1,6.0,,1
RS,LB,"Stafford, Ben",1996,3,2,3,5,0.0,0,0,0,0,0,,0,,0,,0,,,5,0,0,1.7,,0
RS,LB,"Smith, Kevin",1996,3,0,1,1,0.0,0,0,0,0,0,,0,,0,,0,,,1,0,0,0.3,,0
Jr,LB,"Moses, Kelvin",1996,11,75,56,131,10.0,36,2,16,2,16,,2,,2,,3,,,131,0,4,11.9,1,4
Jr,DB,"Solomon, D'Angelo",1996,11,48,20,68,0.0,0,0,0,3,81,,7,,0,,1,,,68,0,10,6.2,,10
Jr,LB,"Zadel, David",1996,11,40,24,64,5.0,16,1,9,0,0,,2,,0,,0,,,64,0,2,5.8,,2
Jr,DT,"Joyner, Aljamont",1996,11,37,21,58,7.0,14,1,3,0,0,,2,,0,,0,,,58,0,2,5.3,,2
Jr,DT,"Fatzinger, Robert",1996,6,13,13,26,1.0,2,0,0,0,0,,0,,0,,0,,,26,0,0,4.3,,0
Jr,DB,"Chavis, Kenyon",1996,9,9,5,14,0.0,0,0,0,0,0,,0,,0,,0,,,14,0,0,1.6,,0
JR,DE,"Alexander, Chad",1996,5,1,0,1,1.0,4,1,4,0,0,,0,,0,,0,,,1,0,0,0.2,,0
FR,DE,"Wilburn, Clinton",1996,11,19,27,46,1.0,1,0,0,0,0,,0,,0,,1,,,46,0,0,4.2,,0
Fr,DT,"Shackleford, Kelvin",1996,11,15,9,24,2.0,13,2,13,0,0,,0,,2,,0,,,24,0,0,2.2,,0
Fr,DB,"Austin, Reggie",1996,8,16,3,19,0.0,0,0,0,1,0,,1,,0,,0,,,19,0,2,2.4,,2
Fr,DL,"Mellerson, DaVaughn",1996,10,9,10,19,1.0,1,0,0,0,0,,0,,0,,0,,,19,0,0,1.9,,0
Fr,RB,"Moore, David",1996,6,6,6,12,0.0,0,0,0,0,0,,0,,0,,0,,,12,0,0,2.0,,0
Sr,LB,"Grace, Tucker",1995,11,92,37,129,19.0,60,4,24,2,0,,2,,0,,1,,,129,0,4,11.7,1,4
Sr,DE,"Gardner, Rick",1995,11,41,27,68,4.0,11,0,0,0,0,,1,,1,,0,,,68,0,1,6.2,,1
Sr,DB,"Morehead, Brent",1995,11,51,11,62,1.0,8,0,0,2,25,,1,,2,,1,,,62,0,3,5.6,,3
Sr,DB,"Sockwell, Alexis",1995,7,33,13,46,0.0,0,0,0,0,0,,3,,0,,1,,,46,0,3,6.6,,3
SR,LB,"Holcomb, Jones",1995,10,17,9,26,2.0,5,0,0,0,0,,0,,1,,1,,,26,0,0,2.6,,0
So,DB,"Solomon, D'Angelo",1995,11,56,25,81,1.0,3,0,0,3,1,,11,,1,,1,,,81,0,14,7.4,,14
So,DT,"Fatzinger, Robert",1995,11,35,21,56,6.0,17,1,5,0,0,,0,,0,,2,,,56,0,0,5.1,,0
So,LB,"Zadel, David",1995,11,28,19,47,7.0,28,1,7,0,0,,0,,1,,0,,,47,0,0,4.3,,0
SO,DL,"Hyman, Rob",1995,11,22,19,41,2.0,10,1,1,0,0,,1,,0,,1,,,41,0,1,3.7,,1
So,DT,"Joyner, Aljamont",1995,11,15,13,28,6.0,21,1,9,0,0,,0,,0,,1,,,28,0,0,2.5,,0
