"","PlayerYear","PlayerPosition","Name","calYear","Games","SoloTackles","AsstTackles","TotalTackles","TacklesForLoss","TFL_Yds","Sacks","Sack_Yds","Int","Int_Yds","IntTD","PassBreakUps","QBHurries","FumbleRecov","FumbleRecov_Yds","ForcedFumbles","BlockedKicks","Safety","Tkls/Gm","TotalCheck","Diff","PDF","Tm Rank","PDF_1"
"38","FR","CB","TAYLOR, JA'SIR",2017,13,24,3,27,0,0,0,0,0,0,0,5,0,0,0,0,NA,NA,2.07692307692308,27,0,5,NA,5
"39","FR","S","DAVIS, COBY",2017,13,8,2,10,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,0.769230769230769,10,0,2,NA,2
"40","FR","LB","TAYLOR, D.J.",2017,6,5,0,5,1,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0.833333333333333,5,0,0,NA,NA
"41","FR","LB","SIMPSON, JAKE",2017,13,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.307692307692308,4,0,0,NA,NA
"42","SR","LB","LEE, MARQUEL",2016,13,63,42,105,20,68,7.5,46,NA,NA,NA,NA,4,NA,NA,3,NA,NA,8.07692307692308,105,NA,NA,NA,0
"43","SR","LB","BROWN, THOMAS",2016,13,40,25,65,8.5,43,4,25,NA,NA,NA,4,4,NA,NA,2,NA,NA,5,65,NA,NA,NA,4
"44","SR","CB","WATSON, BRAD",2016,13,49,14,63,1,1,0,0,2,7,0,6,0,NA,NA,2,NA,NA,4.84615384615385,63,NA,NA,NA,8
"45","SR","S","JANVION, RYAN",2016,11,32,14,46,1.5,4,0,0,1,0,0,1,0,1,0,0,NA,NA,4.18181818181818,46,NA,NA,NA,2
"46","SR","DT","BANKS, JOSH",2016,13,19,15,34,8,51,4.5,39,0,0,0,0,4,1,39,1,NA,NA,2.61538461538462,34,NA,NA,NA,0
"47","SR","DT","LEWINSON, SHELLDON",2016,5,6,2,8,1,1,0,0,0,0,0,0,3,1,0,0,0,NA,1.6,8,NA,NA,NA,0
"48","SR","FB","ARGENZIO, CHARLES",2016,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"49","SO","S","GLENN, CAMERON",2016,9,26,9,35,1,1,0,0,1,41,0,0,0,3,88,1,NA,NA,3.88888888888889,35,NA,NA,NA,1
"50","SO","LB","KEMP, DEMETRIUS",2016,10,20,11,31,4,16,1,10,0,0,0,1,1,0,0,1,NA,NA,3.1,31,NA,NA,NA,1
"51","SO","DT","YARBARY, WILLIE",2016,12,13,8,21,2.5,27,2.5,27,0,0,0,1,0,0,0,0,NA,NA,1.75,21,NA,NA,NA,1
